team,condition,gh,ga,count,prob,cdf
Crystal Palace,home,0,0,9,0.11842105263157894,0.11842105263157894
Crystal Palace,home,0,1,4,0.05263157894736842,0.17105263157894735
Crystal Palace,home,0,2,7,0.09210526315789473,0.2631578947368421
Crystal Palace,home,0,3,2,0.02631578947368421,0.2894736842105263
Crystal Palace,home,0,4,1,0.013157894736842105,0.3026315789473684
Crystal Palace,home,0,7,1,0.013157894736842105,0.3157894736842105
Crystal Palace,home,1,0,10,0.13157894736842105,0.4473684210526315
Crystal Palace,home,1,1,14,0.18421052631578946,0.631578947368421
Crystal Palace,home,1,2,4,0.05263157894736842,0.6842105263157894
Crystal Palace,home,1,3,2,0.02631578947368421,0.7105263157894736
Crystal Palace,home,1,4,1,0.013157894736842105,0.7236842105263157
Crystal Palace,home,2,0,4,0.05263157894736842,0.7763157894736841
Crystal Palace,home,2,1,4,0.05263157894736842,0.8289473684210524
Crystal Palace,home,2,2,2,0.02631578947368421,0.8552631578947366
Crystal Palace,home,2,3,3,0.039473684210526314,0.8947368421052629
Crystal Palace,home,3,0,3,0.039473684210526314,0.9342105263157893
Crystal Palace,home,3,1,2,0.02631578947368421,0.9605263157894735
Crystal Palace,home,3,2,1,0.013157894736842105,0.9736842105263156
Crystal Palace,home,4,1,1,0.013157894736842105,0.9868421052631577
Crystal Palace,home,4,3,1,0.013157894736842105,0.9999999999999999
Crystal Palace,away,0,0,5,0.06578947368421052,0.06578947368421052
Crystal Palace,away,0,1,1,0.013157894736842105,0.07894736842105263
Crystal Palace,away,0,2,7,0.09210526315789473,0.17105263157894735
Crystal Palace,away,1,0,11,0.14473684210526316,0.3157894736842105
Crystal Palace,away,1,1,9,0.11842105263157894,0.43421052631578944
Crystal Palace,away,1,2,7,0.09210526315789473,0.5263157894736842
Crystal Palace,away,1,3,1,0.013157894736842105,0.5394736842105263
Crystal Palace,away,1,4,1,0.013157894736842105,0.5526315789473685
Crystal Palace,away,1,5,2,0.02631578947368421,0.5789473684210527
Crystal Palace,away,2,0,7,0.09210526315789473,0.6710526315789473
Crystal Palace,away,2,1,3,0.039473684210526314,0.7105263157894737
Crystal Palace,away,2,2,5,0.06578947368421052,0.7763157894736842
Crystal Palace,away,3,0,6,0.07894736842105263,0.8552631578947368
Crystal Palace,away,3,1,2,0.02631578947368421,0.881578947368421
Crystal Palace,away,3,2,1,0.013157894736842105,0.8947368421052632
Crystal Palace,away,3,3,1,0.013157894736842105,0.9078947368421053
Crystal Palace,away,4,0,4,0.05263157894736842,0.9605263157894737
Crystal Palace,away,4,1,2,0.02631578947368421,0.9868421052631579
Crystal Palace,away,4,2,1,0.013157894736842105,1.0
Tottenham,home,0,1,5,0.06578947368421052,0.06578947368421052
Tottenham,home,0,2,5,0.06578947368421052,0.13157894736842105
Tottenham,home,0,3,2,0.02631578947368421,0.15789473684210525
Tottenham,home,1,0,7,0.09210526315789473,0.25
Tottenham,home,1,1,5,0.06578947368421052,0.3157894736842105
